FLIGHT_DATE,FLIGHT_NUMBER,BOARD_POINT,OFF_POINT,PNR_NUMSER,CREATION_DATE_TIME,PNR_STATUS,PAX_STATUS,SEGMENT_STATUS,PNR_TYPE,AGENCY_CODE,CORPORATED_ID,FARE_LEVEL_CODE,FARETYPE_LOCAL,FARE_BASIS,FARE_AMOUNT,AMOUNT_PAID,RESERVATION_CHANNEL,SETTLEMENT_CHANNEL,PASSENGER_NAME,GENDER,AGE,CONTACT_TYPE,PHONE_NO,ADDRESS_AREA,PROFILE_ID,LOYALTY_NUMBER,SEAT_NUMBER,CHECKIN_STATUS,SSR_KEYWORD,OSI_KEYWORD,MANIFEST_COMMENT,PROMO_CODE,LAST_MODIFIED_DATE,TICKET_NUMBER,COUPON_NUMBER,ZIP_CODE,SURCHARGE_AMOUNT,AGENCY_NAME,CORPORATE_NAME
9/24/2020,FL134,OJK,ZSF,A2282Z,4/7/2020 21:46,ACTIVE,ACTIVE,CONFIRMED,NORMAL,,,BD,???????????????,BDS,11500,11500,Guest EN,CREDITCARD,????/???/MR,FEMALE,37,LOCAL_LANG_CONTACT,080-123-4567,,GPR387157,1298302,3A,,INFT/CKIN,,WATANABE  HARUKA INFANT 04-03-2019,,4/8/2020 21:47,1.01E+12,1,123456,,,
5/22/2020,FL134,OJK,ZSF,A22P4H,2/12/2020 23:09,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,WO,??????????,WO45S,0,0,Guest EN,,????/???/MR,MALE,25,LOCAL_LANG_CONTACT,080-123-4567,,GPR634979,,,,,,,,4/28/2020 11:21,,,123456,,,
5/21/2020,FL133,ZSF,OJK,A8XV2C,1/24/2020 16:17,CANCELLED,ACTIVE,CANCELLED,GROUP,,,GR,??????,BGPSO,0,0,GROUPAPI,,????/???/MR,MALE,0,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/13/2020 13:27,,,123456,,,
8/16/2020,FL134,OJK,ZSF,A22Q2Q,3/12/2020 7:57,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,WO,????e????C???????,EHCSC,0,0,Guest EN,,????/???/MR,MALE,48,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,3/15/2020 2:02,,,123456,,,
6/21/2020,FL141,ZSF,KUF,A22Q2T,3/13/2020 19:51,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,BD,???????????????,BD140S,0,0,Guest EN,,????/???/MR,MALE,57,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/6/2020 17:19,,,123456,,,
6/21/2020,FL141,ZSF,KUF,A22Q2T,3/13/2020 19:51,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,BD,???????????????,BD140S,0,0,Guest EN,,????/???/MR,MALE,83,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/6/2020 17:19,,,123456,,,
6/21/2020,FL141,ZSF,KUF,A22Q2T,3/13/2020 19:51,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,BD,???????????????,BD140S,0,0,Guest EN,,????/???/MR,MALE,30,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/6/2020 17:19,,,123456,,,
6/21/2020,FL141,ZSF,KUF,A22Q2T,3/13/2020 19:51,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,BD,???????????????,BD140S,0,0,Guest EN,,????/???/MR,MALE,55,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/6/2020 17:19,,,123456,,,
6/21/2020,FL141,ZSF,KUF,A22Q2T,3/13/2020 19:51,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,BD,???????????????,BD140S,0,0,Guest EN,,????/???/MR,MALE,56,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,4/6/2020 17:19,,,123456,,,
8/9/2020,FL141,ZSF,KUF,A22Q4K,3/25/2020 8:13,CANCELLED,ACTIVE,CANCELLED,NORMAL,,,WO,??????????,WO45162S,0,0,Guest EN,,????/???/MR,MALE,46,LOCAL_LANG_CONTACT,080-123-4567,,,,,,,,,,5/12/2020 18:24,,,123456,,,
